strata,description,land size,year,land,building,total value
13,residential,10412,2002,1441000,735000,2176000
13,residential,8971,2003,1306000,471000,1777000
13,residential,6350,2003,1127000,459000,1586000
13,residential,5974,2004,1079000,423000,1502000
13,residential,6135,2003,1091000,214000,1305000
13,residential,6846,2003,1134000,332000,1466000
13,residential,5909,2003,1077000,326000,1403000
13,residential,5974,2004,10081000,414000,10495000
13,residential,6566,2004,1084000,489000,1573000
13,residential,6337,2001,1104000,411000,1515000
13,residential,4295,1997,967000,338000,1305000
13,residential,5997,1997,1082000,342000,1424000
13,residential,5295,1996,1038000,388000,1426000
13,residential,7019,1999,1143000,399000,1542000
13,residential,6295,2000,1102000,381000,1483000
13,residential,6226,2000,1020000,376000,1396000
13,residential,5153,1991,1028000,322000,1350000
13,residential,6058,1995,1086000,417000,1503000
13,residential,8909,1995,1241000,369000,1610000
13,residential,5997,1997,1082000,342000,1424000
13,residential,6531,1996,1138000,364000,1502000
13,residential,5970,2000,1048000,422000,1470000
14,residential,10 Acres,1961,4381000,2883000,7264000
14,residential,9884,1957,1050000,79300,1129300
14,residential,10882,2012,1282000,1305000,2587000
14,residential,6005,1998,2364000,286000,2650000
14,residential,6023,1998,2280000,784000,3064000
14,residential,9914,1972,1241000,169000,1410000
14,residential,5359,1952,2383000,175000,2558000
14,residential,4128,1937,1163000,536000,1699000
14,residential,4926,1988,2318000,421000,2739000
14,residential,3711,1976,2312000,292000,2604000
14,residential,5885,1981,3011000,1327000,4338000
14,residential,3900,1942,2184000,124000,2308000
14,residential,5683,1965,2410000,247000,2657000
14,residential,5434,1984,2272000,387000,2659000
